"filename", "language", "JavaScript", "Vue", "Markdown", "CSS", "JSON", "XML", "HTML", "JSON with Comments", "comment", "blank", "total"
"c:\Users\imado\Documents\Housing-Editor\housing-editor-frontend\src\router\index.js", "JavaScript", 104, 0, 0, 0, 0, 0, 0, 0, 0, 5, 109
"c:\Users\imado\Documents\Housing-Editor\housing-editor-frontend\src\store\index.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18
"c:\Users\imado\Documents\Housing-Editor\housing-editor-frontend\src\utils\EventUtil.js", "JavaScript", 170, 0, 0, 0, 0, 0, 0, 0, 0, 22, 192
"c:\Users\imado\Documents\Housing-Editor\housing-editor-frontend\src\utils\MinecraftTextParser.js", "JavaScript", 98, 0, 0, 0, 0, 0, 0, 0, 1, 9, 108
"c:\Users\imado\Documents\Housing-Editor\housing-editor-frontend\src\utils\TextBlockParser.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5
"c:\Users\imado\Documents\Housing-Editor\housing-editor-frontend\src\utils\UploadContent.js", "JavaScript", 71, 0, 0, 0, 0, 0, 0, 0, 34, 15, 120
"c:\Users\imado\Documents\Housing-Editor\housing-editor-frontend\src\utils\requestActionPage.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"c:\Users\imado\Documents\Housing-Editor\housing-editor-frontend\src\utils\requestItemPage.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"c:\Users\imado\Documents\Housing-Editor\housing-editor-frontend\src\views\actions\ActionCatalog.vue", "Vue", 0, 86, 0, 0, 0, 0, 0, 0, 0, 3, 89
"c:\Users\imado\Documents\Housing-Editor\housing-editor-frontend\src\views\actions\EditAction.vue", "Vue", 0, 86, 0, 0, 0, 0, 0, 0, 0, 4, 90
"c:\Users\imado\Documents\Housing-Editor\housing-editor-frontend\src\views\actions\SingleAction.vue", "Vue", 0, 57, 0, 0, 0, 0, 0, 0, 0, 3, 60
